日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20201130,7278,エクセディ,市場第一部（内国株）,3700,輸送用機器,6,自動車・輸送機 ,6,TOPIX Small 1
20201130,7279,ハイレックスコーポレーション,市場第二部（内国株）,3700,輸送用機器,6,自動車・輸送機 ,-,-
20201130,7280,ミツバ,市場第一部（内国株）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
20201130,7282,豊田合成,市場第一部（内国株）,3700,輸送用機器,6,自動車・輸送機 ,4,TOPIX Mid400
20201130,7283,愛三工業,市場第一部（内国株）,3700,輸送用機器,6,自動車・輸送機 ,7,TOPIX Small 2
20201130,7284,盟和産業,市場第一部（内国株）,3700,輸送用機器,6,自動車・輸送機 ,7,TOPIX Small 2
20201130,7287,日本精機,市場第二部（内国株）,3700,輸送用機器,6,自動車・輸送機 ,-,-
20201130,7291,日本プラスト,市場第一部（内国株）,3700,輸送用機器,6,自動車・輸送機 ,7,TOPIX Small 2
20201130,7292,村上開明堂,市場第二部（内国株）,3700,輸送用機器,6,自動車・輸送機 ,-,-
20201130,7294,ヨロズ,市場第一部（内国株）,3700,輸送用機器,6,自動車・輸送機 ,7,TOPIX Small 2
20201130,7296,エフ・シー・シー,市場第一部（内国株）,3700,輸送用機器,6,自動車・輸送機 ,6,TOPIX Small 1
20201130,7297,カーメイト,JASDAQ(スタンダード・内国株）,3700,輸送用機器,6,自動車・輸送機 ,-,-
20201130,7298,八千代工業,JASDAQ(スタンダード・内国株）,3700,輸送用機器,6,自動車・輸送機 ,-,-
20201130,7299,フジオーゼックス,市場第二部（内国株）,3700,輸送用機器,6,自動車・輸送機 ,-,-
20201130,7305,新家工業,市場第一部（内国株）,3450,鉄鋼,7,鉄鋼・非鉄 ,7,TOPIX Small 2
20201130,7309,シマノ,市場第一部（内国株）,3700,輸送用機器,6,自動車・輸送機 ,2,TOPIX Large70
20201130,7313,テイ・エス　テック,市場第一部（内国株）,3700,輸送用機器,6,自動車・輸送機 ,4,TOPIX Mid400
20201130,7314,小田原機器,JASDAQ(スタンダード・内国株）,3700,輸送用機器,6,自動車・輸送機 ,-,-
20201130,7315,ＩＪＴＴ,市場第二部（内国株）,3700,輸送用機器,6,自動車・輸送機 ,-,-
20201130,7317,松屋アールアンドディ,マザーズ（内国株）,3700,輸送用機器,6,自動車・輸送機 ,-,-
20201130,7320,日本リビング保証,マザーズ（内国株）,7200,その他金融業,16,金融（除く銀行） ,-,-
